district,number of apartments,1 room,2 rooms,3 rooms ,4 rooms,5 rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible,Private offer,Estate agent,Booking House of Co,Degewo,HousingAnywhere B.V.,Howoge,Numa Group,Tauschwohnung Wohnungstausch,Visionapartments,Wohnungsswap.de,avg €/m²,avg €/ 1 room,avg €/ 2 room,avg €/ 3 room,avg €/ 4 room,avg €/ 5 room
Schöneberg,113,44,40,20,6,1,33,29,15,4,9,4,1,0,9,20,1,0,55,0,0,4,0,24,35.95,1920.98,1778.73,2451.92,3219.21,1853
Siemensstadt,9,2,6,0,0,0,4,1,1,1,3,1,0,0,1,4,0,0,3,0,0,0,0,1,19.53,865,1077.2,0,0,0
Spandau,19,7,5,5,1,0,8,7,4,0,1,4,0,0,4,7,0,0,7,0,0,0,0,1,21.08,2615.53,1144.28,1138.89,1120,0
Staaken,10,3,4,3,0,0,3,0,3,1,1,5,0,0,2,3,0,0,4,0,0,0,0,1,24.33,1129.33,2113.83,1036,0,0
Steglitz,37,10,18,6,2,1,14,8,9,1,1,3,2,0,6,11,0,0,14,0,0,1,0,5,23.90,1381.9,1193.97,1573.67,1980,2250
Tegel,9,2,4,1,0,0,4,2,4,2,0,1,0,0,4,2,0,0,1,0,0,0,0,2,21.93,1845,993.75,700,0,0
Tempelhof,26,10,12,3,0,0,11,7,4,1,4,0,2,0,4,6,0,0,12,0,0,2,0,2,33.96,1620.4,1260.83,1913.33,0,0
Tiergarten,57,16,23,10,8,0,27,26,9,8,18,7,4,0,1,33,0,0,9,0,2,6,0,6,37.42,1947,2478.28,3350.86,4020.52,0
Wannsee,10,1,4,2,2,0,5,4,2,3,0,0,0,0,3,3,0,0,3,0,1,0,0,0,25.36,2500,1328.15,2675,5792.5,0
Wedding,112,56,39,13,3,0,21,11,12,1,5,7,2,0,4,10,0,0,70,3,1,2,0,22,34.10,1593.95,1545.52,2799.31,2700,0
Weißensee,32,11,11,6,4,0,13,4,6,2,3,0,1,0,5,4,0,0,14,0,0,2,0,7,22.96,1333.86,1407.09,1441.5,2126.62,0
Westend,82,61,5,13,1,1,11,8,3,1,2,17,3,0,6,5,0,2,19,37,0,3,0,10,51.26,1532.18,2199.36,2093.56,3240,2819.8
Wilhelmsruh,4,1,2,1,0,0,3,3,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,28.48,1550,1370,1470,0,0
Wilhelmstadt,9,4,1,3,1,0,4,4,3,0,0,0,1,0,2,4,0,0,2,0,0,0,0,1,17.22,729.55,1450,1242.01,3949,0
Wilmersdorf,104,53,26,14,6,2,36,34,15,5,24,5,4,2,8,42,0,1,32,0,2,5,0,14,32.16,1667.58,1735.42,2598.36,2719.17,6307.5
Wittenau,6,0,2,4,0,0,5,4,4,1,0,1,0,0,4,1,0,0,1,0,0,0,0,0,22.37,0,1920,2140.7,0,0
Zehlendorf,18,2,4,8,1,0,9,7,3,4,0,0,0,0,3,6,0,0,7,0,0,0,0,2,19.26,1370,1302.97,1845,2300,0
